p09_2,p134e,p70,p35,p09_3,p140,p58,p62g,p126p,p151,p15,p06,p40m,p40,p134c,p128b,p138,p66,p115,p34_f,p134i,p128a,p23,p130c_11,p116,p33_f,p62h,p117,p113,p134f,p134h,p93,p139,p113_11,CIUO2,p130b,p130d,p98,p86,p68,p13,p05,p53,p43m,p43,p46,p133,p64,p38_11,p38m_11,p54,p136,p76,OBJ_pobre_a_rico,OBJ_pobre_a_rico_cluster,OBJ_pobre_a_rico_n_clusters,OBJ_pobre_a_rico_ponderador_mean,OBJ_rico_a_pobre_cluster,OBJ_rico_a_pobre_n_clusters,OBJ_rico_a_pobre_ponderador_mean,OBJ_rico_a_pobre,OBJ_siguie_siendo_rico_cluster,OBJ_siguie_siendo_rico_n_clusters,OBJ_siguie_siendo_rico_ponderador_mean,OBJ_siguie_siendo_rico,OBJ_siguie_siendo_pobre_cluster,OBJ_siguie_siendo_pobre_n_clusters,OBJ_siguie_siendo_pobre_ponderador_mean,OBJ_siguie_siendo_pobre,OBJ_sigue_siendo_clase_media_cluster,OBJ_sigue_siendo_clase_media_n_clusters,OBJ_sigue_siendo_clase_media_ponderador_mean,OBJ_sigue_siendo_clase_media,OBJ_clase_media_a_rico_cluster,OBJ_clase_media_a_rico_n_clusters,OBJ_clase_media_a_rico_ponderador_mean,OBJ_clase_media_a_rico,OBJ_clase_media_a_pobre_cluster,OBJ_clase_media_a_pobre_n_clusters,OBJ_clase_media_a_pobre_ponderador_mean,OBJ_clase_media_a_pobre,OBJ_subieron_cluster,OBJ_subieron_n_clusters,OBJ_subieron_ponderador_mean,OBJ_subieron,OBJ_bajaron_cluster,OBJ_bajaron_n_clusters,OBJ_bajaron_ponderador_mean,OBJ_bajaron
5.0,1,1.0,1,8.0,5.0,5.0,2,0,9,4.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,27.0,11.0,6.0,0,1,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,2.0,51.0,7,2.0,2.0,1.0,1,13.0,80.0,75.0,0,0,0,0,220.0,104,5.123282418370816,39.0,85,5.089720583777263,0,519.0,52,5.183218686839836,0,144.0,80,6.351318726464916,1,114.0,118,6.9734709710682745,0,265.0,94,5.12226002384757,0,87.0,106,5.230859368200345,0,12.0,92,7.891045751017855,0,316.0,8,6.299928272951022,0
8.0,1,3.0,2,8.0,5.0,5.0,2,1,3,1.0,1,2.0,2.0,1,2,1.0,2.0,1.0,0,2,2,16.0,11.0,1.0,0,1,2.0,1.0,1,1,2.0,2.0,13.0,6111.0,2,2,14.0,36.0,1,2.0,61.0,4,2.0,2.0,1.0,1,12.0,97.0,97.0,35,0,5,0,78.0,106,5.122816765449674,113.0,86,5.098665972599278,0,103.0,52,5.171707514551932,0,144.0,80,6.191803303908169,0,114.0,120,6.945440111534176,0,204.0,95,5.12870857835667,0,87.0,106,5.231916139727605,0,12.0,91,8.012937526108134,1,83.0,8,6.099945253240015,0
8.0,1,3.0,1,8.0,5.0,5.0,1,0,10,1.0,1,2.0,2.0,2,1,5.0,2.0,2.0,0,1,2,221.0,11.0,6.0,1,1,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,20.0,60.0,1,4.0,39.0,7,2.0,2.0,1.0,5,17.0,69.0,60.0,0,35,35,0,347.0,95,5.124171533533175,183.0,85,5.099908217291961,0,43.0,66,6.205017807457439,0,44.0,70,5.549486873040801,0,53.0,109,6.9820427599077055,0,21.0,110,5.156901620368954,0,256.0,106,5.174766995692441,0,296.0,88,7.226452012134894,0,199.0,33,7.60286454680559,1
1.0,2,3.0,2,8.0,5.0,5.0,8,0,6,6.0,2,2.0,2.0,2,2,1.0,2.0,2.0,0,1,2,9.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,4.0,40.0,8,2.0,2.0,8.0,8,25.0,70.0,67.0,0,0,0,0,209.0,98,5.133550602241109,39.0,86,5.092679324260756,0,352.0,49,5.403901611134786,0,147.0,73,5.598934320925998,1,83.0,109,7.018971668697745,0,221.0,105,5.171868277393443,0,281.0,107,5.176184965619221,0,363.0,84,8.0038535150299,0,105.0,18,7.29627382373116,0
5.0,2,3.0,2,8.0,5.0,5.0,2,1,7,6.0,2,2.0,2.0,2,2,5.0,2.0,2.0,0,2,2,16.0,11.0,1.0,0,1,2.0,1.0,1,1,8.0,2.0,13.0,6114.0,2,1,14.0,45.0,2,2.0,45.0,7,2.0,2.0,1.0,1,12.0,97.0,87.0,0,35,0,0,38.0,107,5.112507081192783,209.0,85,5.096916195233669,0,88.0,52,5.1664417925462,0,144.0,80,6.2475445312110285,0,114.0,119,6.954144987577841,0,388.0,95,5.130276940370841,0,193.0,107,5.237303951036729,0,270.0,91,7.918007490077111,1,334.0,8,6.067738436928536,0
8.0,2,3.0,1,8.0,5.0,3.0,1,0,7,1.0,1,2.0,8.0,1,1,1.0,2.0,2.0,0,1,1,16.0,16.0,4.0,0,1,1.0,2.0,1,1,2.0,2.0,13.0,4120.0,2,2,17.0,30.0,1,11.0,35.0,1,5.0,98.0,1.0,3,16.0,60.0,52.0,35,0,1,0,347.0,104,5.091055498781481,39.0,83,5.097809704055747,0,391.0,59,6.329650790061221,0,301.0,74,5.356039953567124,0,20.0,108,6.958002532362388,0,274.0,104,5.134745174973621,0,112.0,100,5.152479892079235,0,90.0,83,6.967701130887025,0,260.0,57,7.725473225772536,1
1.0,2,3.0,2,8.0,5.0,5.0,2,0,7,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,11.0,11.0,1.0,0,2,2.0,1.0,1,2,1.0,2.0,12.0,6114.0,2,2,17.0,6.0,1,4.0,63.0,7,2.0,2.0,1.0,4,15.0,70.0,67.0,0,0,35,0,71.0,99,5.139546271129844,39.0,83,5.09829069569867,0,457.0,52,5.174023854551316,0,170.0,73,5.581524682128167,0,83.0,112,7.023911006248797,0,307.0,103,5.156999753294716,0,2.0,105,5.184754905336403,0,84.0,87,8.201372171598491,1,250.0,8,6.3357632967033055,0
8.0,1,3.0,1,8.0,5.0,5.0,1,0,8,1.0,2,2.0,2.0,1,2,5.0,1.0,1.0,1,1,2,16.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,14.0,70.0,1,4.0,44.0,7,2.0,2.0,1.0,3,12.0,58.0,57.0,0,35,1,0,250.0,104,5.102683649246142,164.0,84,5.098033005045953,0,524.0,50,5.236571391242899,0,299.0,79,5.686686755491844,0,53.0,111,7.024939150883234,0,300.0,102,5.116316067326049,0,256.0,108,5.198006207365174,0,164.0,89,7.664339325286518,0,228.0,19,7.131582375576528,1
11.0,1,1.0,1,8.0,8.0,5.0,2,0,8,6.0,2,2.0,2.0,2,2,1.0,2.0,1.0,0,1,2,31.0,11.0,6.0,0,1,2.0,2.0,1,1,3.0,2.0,13.0,6114.0,2,2,20.0,45.0,2,6.0,38.0,7,2.0,2.0,1.0,2,20.0,65.0,66.0,0,35,0,0,250.0,104,5.100429997054649,39.0,88,5.088474125060379,0,446.0,51,5.309649519415216,0,157.0,73,5.869740457953785,0,435.0,115,7.007660830794133,0,73.0,105,5.142541777666051,0,93.0,104,5.20942883026514,0,316.0,82,7.585181752998007,0,180.0,14,7.223433876439758,1
5.0,2,3.0,2,8.0,5.0,5.0,2,0,9,1.0,2,2.0,2.0,1,2,1.0,2.0,1.0,0,2,2,10.0,11.0,6.0,0,1,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,49.0,54.0,1,2.0,56.0,7,2.0,2.0,1.0,9,13.0,80.0,85.0,0,0,35,0,71.0,99,5.134597945298043,39.0,83,5.092355868055523,0,302.0,47,5.37776324366733,0,261.0,79,5.834753846381355,0,83.0,112,7.024444639553242,0,380.0,99,5.15664839703687,0,120.0,103,5.182112111945622,1,80.0,88,8.21135733053792,0,83.0,8,6.113334853894032,1
11.0,1,3.0,2,8.0,5.0,5.0,2,0,8,1.0,1,2.0,2.0,1,2,1.0,1.0,1.0,0,2,2,9.0,11.0,1.0,0,2,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,20.0,80.0,1,4.0,45.0,7,2.0,4.0,3.0,7,16.0,71.0,68.0,0,0,4,0,362.0,96,5.133393853692843,39.0,85,5.094739555207535,0,60.0,49,5.585541746192249,1,216.0,72,5.536561484715502,0,83.0,109,7.021701877102086,0,380.0,100,5.163917881133347,0,281.0,105,5.184492810316991,0,84.0,85,7.9835342389438475,0,209.0,11,6.711027398172101,0
5.0,2,1.0,1,8.0,5.0,5.0,1,0,6,4.0,1,2.0,2.0,1,2,1.0,2.0,1.0,0,1,2,8.0,11.0,1.0,0,1,2.0,1.0,1,2,1.0,2.0,12.0,6114.0,2,2,14.0,45.0,2,4.0,37.0,7,2.0,2.0,1.0,1,33.0,57.0,52.0,0,0,0,0,90.0,103,5.104679608322839,131.0,86,5.102155041354218,0,40.0,51,5.350466615510753,0,269.0,73,5.761131131443495,0,114.0,118,6.977860502906388,0,73.0,106,5.119482844032618,0,379.0,107,5.242438227830047,1,105.0,90,7.311804752858669,0,228.0,30,7.531164215436129,1
11.0,2,3.0,2,8.0,5.0,5.0,2,0,8,1.0,1,1.0,2.0,2,2,1.0,2.0,2.0,0,1,2,28.0,11.0,1.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,20.0,60.0,1,6.0,35.0,7,2.0,2.0,1.0,8,18.0,71.0,69.0,0,0,35,0,362.0,96,5.132123061891626,39.0,85,5.096002013534084,0,97.0,50,5.407794477549313,0,20.0,69,5.678624010851797,0,330.0,111,7.02658748465247,0,380.0,104,5.160503211011617,0,300.0,105,5.166770364002811,0,196.0,83,7.920031593855112,0,105.0,19,7.367880247820608,0
11.0,2,3.0,1,8.0,5.0,5.0,1,0,7,6.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,24.0,11.0,6.0,0,1,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,15.0,1,6.0,40.0,7,2.0,4.0,1.0,1,18.0,65.0,63.0,0,0,35,0,250.0,104,5.100369559359597,161.0,87,5.10430135078473,0,446.0,51,5.360383034544084,0,116.0,74,5.7904702191812785,0,114.0,118,6.98745403176976,0,97.0,106,5.13020594508973,0,93.0,107,5.218346754383474,0,266.0,84,7.368181156921847,0,218.0,28,7.606031749995794,1
7.0,2,3.0,1,8.0,5.0,5.0,1,0,7,1.0,2,2.0,1.0,1,2,1.0,2.0,1.0,0,2,2,20.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,7531.0,2,2,21.0,30.0,1,8.0,49.0,1,8.0,2.0,1.0,5,21.0,75.0,74.0,35,0,35,0,362.0,103,5.114606569281032,39.0,83,5.099382949618992,0,277.0,55,6.109345692646772,0,40.0,73,5.504205273095151,0,101.0,108,7.007490289542037,0,291.0,102,5.188802024540288,0,77.0,98,5.129514504426056,0,84.0,87,7.834609790485925,1,80.0,10,6.843225561513753,0
2.0,1,3.0,2,8.0,5.0,5.0,1,0,7,1.0,2,1.0,2.0,1,2,1.0,2.0,1.0,0,1,2,9.0,11.0,4.0,0,1,2.0,2.0,1,1,2.0,2.0,13.0,2341.0,2,2,22.0,40.0,1,12.0,32.0,1,10.0,2.0,8.0,6,16.0,70.0,60.0,35,0,35,0,171.0,97,5.105424626359161,39.0,86,5.09297856862877,0,125.0,58,6.624313913135348,1,158.0,76,5.333607967228557,0,105.0,109,6.967825236493481,0,307.0,104,5.164830837758164,0,177.0,99,5.1498070424622515,0,258.0,88,7.3825007931097275,0,124.0,18,7.3994307441034675,0
